Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Production (tonnes)
29.13,56.72,67.72,Clayey,Ground Nuts,8,13,32,17-17-17,10180000
23.35,59.98,63.83,Black,Oil seeds,36,4,0,14-35-14,39669000
26.75,58.1,39.27,Clayey,Maize,19,0,20,14-35-14,37660000
30.42,48.76,42.28,Red,Millets,41,0,1,17-17-17,11570000
24.9,51.02,31.9,Loamy,Ground Nuts,14,13,8,17-17-17,10180000
27.31,57.3,22.41,Loamy,Wheat,34,1,0,Urea,1.13E+08
31.5,74.7,23.25,Clayey,Ground Nuts,8,1,9,DAP,10180000
27.63,69.25,41.18,Loamy,Millets,19,0,26,DAP,11570000
22.59,45.7,33.13,Black,Maize,38,0,4,14-35-14,37660000
35.97,60.1,26.8,Black,Tobacco,11,2,40,20-20,804454
27.69,55.55,27.9,Red,Sugarcane,26,2,22,20-20,4.53E+08
24.27,52.43,62.34,Loamy,Millets,6,1,14,DAP,11570000
30.42,50.01,26.27,Black,Ground Nuts,9,3,11,28-28,10180000
31.52,44.64,42.86,Red,Barley,13,0,35,28-28,1690000
30.64,57.57,46.45,Red,Wheat,12,4,13,20-20,1.13E+08
22.17,47.78,43.03,Clayey,Paddy,15,0,16,28-28,22600
36.5,65.85,42.33,Loamy,Maize,5,10,32,10-26-26,37660000
35.13,65.69,37.76,Black,Maize,8,4,6,28-28,37660000
24.82,53.75,47.97,Black,Ground Nuts,6,14,10,DAP,10180000
31.24,55.88,37.05,Sandy,Oil seeds,6,0,9,Urea,39669000
29.77,46.18,63.79,Loamy,Cotton,5,3,14,10-26-26,4590000
25.86,46.65,32.67,Clayey,Oil seeds,35,0,0,17-17-17,39669000
30.15,60.77,42.93,Clayey,Cotton,44,0,0,Urea,4590000
29.46,59.4,49.1,Clayey,Ground Nuts,10,0,12,28-28,10180000
29.37,64.45,64.66,Black,Cotton,38,0,0,10-26-26,4590000
23.63,58.75,35.6,Red,Oil seeds,19,0,18,28-28,39669000
32.45,60.24,55.92,Sandy,Millets,10,5,31,28-28,11570000
37.34,63.39,25.36,Red,Paddy,15,4,39,14-35-14,22600
30.41,67.24,65.58,Loamy,Cotton,3,8,34,17-17-17,4590000
31.9,55.45,59.87,Sandy,Barley,12,0,37,14-35-14,1690000
35.85,52.79,54.13,Clayey,Cotton,16,13,16,17-17-17,4590000
28.87,49.91,35.02,Red,Pulses,20,0,23,10-26-26,24240000
26.33,50.2,45.34,Clayey,Oil seeds,9,19,18,10-26-26,39669000
29.67,58.75,40.69,Sandy,Sugarcane,35,0,0,Urea,4.53E+08
32.2,50.72,39.63,Clayey,Ground Nuts,23,0,15,28-28,10180000
29.24,62.15,51.65,Black,Millets,6,0,41,10-26-26,11570000
34.15,71.16,41.7,Red,Paddy,37,0,1,Urea,22600
31.56,55.15,56.8,Red,Barley,9,0,35,DAP,1690000
24.76,56.88,20,Clayey,Oil seeds,9,0,36,10-26-26,39669000
34.15,63.96,47.64,Red,Barley,11,0,14,14-35-14,1690000
30.7,57.71,38.36,Sandy,Wheat,9,4,18,28-28,1.13E+08
34.89,53.79,37.58,Red,Ground Nuts,23,2,22,Urea,10180000
26.7,63.42,24.65,Sandy,Cotton,13,1,42,17-17-17,4590000
23.75,61.43,52.94,Black,Ground Nuts,37,0,0,DAP,10180000
25.73,52.9,46.14,Red,Cotton,21,0,18,20-20,4590000
25.36,50.91,24.39,Loamy,Wheat,13,0,10,20-20,1.13E+08
36.35,61.89,65.38,Black,Sugarcane,39,0,0,DAP,4.53E+08
21.91,46.66,45.27,Black,Millets,24,0,21,14-35-14,11570000
26.44,65.84,50.2,Clayey,Pulses,10,0,9,28-28,24240000
28.93,50.28,20.33,Red,Wheat,8,0,12,Urea,1.13E+08
30.06,53.68,70,Sandy,Maize,7,6,34,20-20,37660000
35.29,64.13,46.59,Clayey,Pulses,16,13,13,14-35-14,24240000
24.61,63.9,70,Loamy,Pulses,41,2,0,DAP,24240000
29.38,60.44,45.57,Clayey,Millets,19,0,22,14-35-14,11570000
30.2,51.16,32.5,Red,Barley,20,0,19,DAP,1690000
32.46,68.2,64.77,Sandy,Sugarcane,11,0,9,14-35-14,4.53E+08
24.26,53.19,67.73,Clayey,Oil seeds,34,0,4,DAP,39669000
37.9,75.51,25.35,Clayey,Ground Nuts,11,0,35,DAP,10180000
31.1,55.48,46.43,Sandy,Cotton,34,0,2,Urea,4590000
31.75,62.4,34.97,Black,Wheat,17,0,15,Urea,1.13E+08
27.29,57.56,53.09,Black,Pulses,15,11,11,20-20,24240000
26.71,55.89,69.87,Loamy,Paddy,15,0,40,14-35-14,22600
29.25,56.07,33.6,Black,Oil seeds,21,0,18,DAP,39669000
29.73,58.67,29.64,Red,Barley,17,0,20,17-17-17,1690000
31.62,57.88,42.77,Clayey,Oil seeds,10,12,18,14-35-14,39669000
25.93,54.07,23.84,Loamy,Maize,8,13,12,14-35-14,37660000
26.47,55.37,59.34,Sandy,Maize,11,1,12,20-20,37660000
21.92,53,33.57,Black,Barley,18,0,42,17-17-17,1690000
24.35,58.11,34.04,Clayey,Oil seeds,4,0,10,28-28,39669000
29.55,45.99,50.06,Red,Sugarcane,9,4,10,10-26-26,4.53E+08
28.29,60.24,33.44,Black,Pulses,33,0,2,DAP,24240000
31.31,73.26,70,Loamy,Pulses,11,2,41,14-35-14,24240000
30.05,58.21,23.31,Loamy,Cotton,43,0,0,17-17-17,4590000
31.27,62.18,32.06,Sandy,Paddy,21,4,24,14-35-14,22600
32.51,61.45,70,Loamy,Ground Nuts,10,1,32,Urea,10180000
23.98,44.94,20,Sandy,Oil seeds,14,11,13,28-28,39669000
30.28,69.29,53.16,Sandy,Tobacco,39,1,2,10-26-26,804454
28.02,54.85,55.71,Sandy,Sugarcane,10,9,18,20-20,4.53E+08
28.66,56.26,39.29,Black,Sugarcane,37,0,1,DAP,4.53E+08
30.85,70.39,29.35,Black,Millets,22,0,26,10-26-26,11570000
24.51,62.55,65.83,Loamy,Pulses,13,4,5,Urea,24240000
22.33,56.84,29.98,Black,Ground Nuts,18,4,23,14-35-14,10180000
29.75,55.39,28.42,Sandy,Tobacco,42,1,4,14-35-14,804454
28.27,52.86,22.36,Clayey,Ground Nuts,41,0,2,10-26-26,10180000
33.27,67.2,40.49,Loamy,Paddy,17,0,12,10-26-26,22600
38.53,70.2,28.94,Loamy,Millets,10,0,32,17-17-17,11570000
25.2,60.02,69.92,Sandy,Oil seeds,8,14,31,20-20,39669000
23.66,55.66,31.32,Red,Wheat,38,0,2,20-20,1.13E+08
35.01,71.58,39.2,Black,Wheat,9,0,16,14-35-14,1.13E+08
36.92,69.78,32.64,Clayey,Maize,12,2,31,14-35-14,37660000
23.74,47.23,43.64,Red,Tobacco,18,0,19,10-26-26,804454
30.51,48.99,28.68,Black,Tobacco,6,0,11,14-35-14,804454
27.02,68.83,33.05,Black,Tobacco,0,16,19,Urea,804454
27.77,42.89,59.1,Red,Barley,6,2,13,Urea,1690000
39.65,63.55,47.33,Red,Cotton,3,12,30,Urea,4590000
37.27,64.08,36.28,Red,Barley,15,4,45,20-20,1690000
27.93,64.17,62.13,Black,Pulses,7,0,6,20-20,24240000
29.95,61.75,36.58,Black,Sugarcane,37,0,0,28-28,4.53E+08
24.97,59.24,47.46,Sandy,Paddy,26,0,21,20-20,22600
27.68,61.68,59.47,Clayey,Paddy,18,0,36,17-17-17,22600
23.82,47.74,30.62,Black,Cotton,2,20,12,17-17-17,4590000
34.57,69.61,57.23,Clayey,Pulses,38,0,0,DAP,24240000
35.1,70.14,56.12,Loamy,Pulses,16,0,44,20-20,24240000
33.71,59.42,29.32,Black,Barley,16,0,38,14-35-14,1690000
24.75,45.31,49.7,Clayey,Cotton,23,0,23,10-26-26,4590000
37.36,59.64,53.7,Loamy,Millets,3,12,31,10-26-26,11570000
32.22,56.29,48.76,Black,Maize,35,0,2,10-26-26,37660000
32.35,48.81,46.33,Loamy,Paddy,31,3,0,20-20,22600
40,80,59.99,Clayey,Cotton,42,0,0,10-26-26,4590000
25.85,62.32,48.82,Red,Cotton,33,3,0,DAP,4590000
30.61,66.36,42.09,Red,Barley,8,22,18,DAP,1690000
34.51,54.79,54.12,Loamy,Maize,5,6,26,28-28,37660000
29.66,43.74,43.31,Red,Paddy,35,3,2,20-20,22600
31.75,46.82,37.35,Red,Maize,16,0,15,DAP,37660000
25.43,68.65,39.28,Red,Oil seeds,20,0,17,10-26-26,39669000
30.97,58.53,29.79,Loamy,Wheat,10,21,13,17-17-17,1.13E+08
28.58,71.66,46.04,Red,Oil seeds,10,12,9,10-26-26,39669000
29.87,63.64,61.4,Black,Wheat,15,16,10,20-20,1.13E+08
25.09,54.56,34.08,Red,Maize,19,0,21,28-28,37660000
29.76,45.13,30.91,Red,Cotton,35,2,0,DAP,4590000
31.38,69.36,35.4,Black,Tobacco,35,3,0,Urea,804454
36.7,70.28,23.31,Sandy,Ground Nuts,37,0,0,10-26-26,10180000
26.91,44.27,23.76,Loamy,Barley,18,0,45,10-26-26,1690000
30.83,53.08,47.02,Black,Oil seeds,7,0,5,DAP,39669000
31.98,55.89,57.6,Red,Barley,37,4,0,17-17-17,1690000
30.46,48.84,33.31,Red,Paddy,23,1,25,14-35-14,22600
29.24,54.29,47.85,Clayey,Paddy,14,9,32,Urea,22600
31.38,67.84,59.74,Loamy,Maize,12,0,34,10-26-26,37660000
29.08,54.19,61.72,Clayey,Maize,41,0,1,14-35-14,37660000
40,60.8,50.41,Black,Cotton,12,10,23,10-26-26,4590000
23.18,53.55,20,Black,Ground Nuts,19,15,15,17-17-17,10180000
32.61,54.79,70,Black,Barley,40,4,0,Urea,1690000
36.12,72.17,33.4,Sandy,Paddy,9,0,37,Urea,22600
23.88,57.05,35.25,Loamy,Barley,40,3,0,20-20,1690000
30.78,64.7,35.01,Clayey,Pulses,14,0,12,10-26-26,24240000
36.46,65.08,43.87,Red,Paddy,10,8,27,10-26-26,22600
40,77.61,29.53,Loamy,Sugarcane,7,4,45,10-26-26,4.53E+08
32,57.73,35.48,Black,Wheat,42,0,0,10-26-26,1.13E+08
32.69,69.21,22.19,Black,Sugarcane,4,10,26,20-20,4.53E+08
29.63,45.37,21.76,Black,Sugarcane,14,0,11,28-28,4.53E+08
34.22,56.39,49.89,Red,Pulses,25,0,19,14-35-14,24240000
36.56,76.26,36.26,Sandy,Wheat,7,11,34,10-26-26,1.13E+08
37,62.94,55.83,Loamy,Pulses,35,1,0,20-20,24240000
37.66,74.6,28.6,Black,Millets,36,3,3,DAP,11570000
36.42,75.12,46.56,Sandy,Ground Nuts,14,2,37,DAP,10180000
29.92,50.41,62.32,Clayey,Ground Nuts,8,9,32,10-26-26,10180000
31.96,49.13,52.38,Loamy,Maize,8,0,38,10-26-26,37660000
38.65,62.79,58.95,Black,Cotton,10,0,43,20-20,4590000
24.94,50.42,55.75,Red,Tobacco,35,0,1,14-35-14,804454
26.11,52.09,44.94,Black,Pulses,25,4,22,Urea,24240000
39.68,75.02,51.69,Clayey,Barley,3,4,31,14-35-14,1690000
32.74,64.14,68.56,Red,Millets,12,0,39,10-26-26,11570000
25.3,50.31,45.77,Loamy,Tobacco,14,1,36,14-35-14,804454
29.37,61.61,33,Loamy,Oil seeds,4,9,26,10-26-26,39669000
35.12,61.28,35.3,Red,Sugarcane,11,0,36,Urea,4.53E+08
31.57,46.3,28.05,Red,Tobacco,36,0,0,14-35-14,804454
38,61.23,26.32,Black,Wheat,9,4,38,17-17-17,1.13E+08
36.29,71,56.12,Black,Barley,38,0,0,DAP,1690000
32.76,61.99,68.62,Black,Pulses,13,0,38,DAP,24240000
33.01,61.9,32.87,Sandy,Wheat,41,3,1,28-28,1.13E+08
27.09,64.13,38,Black,Paddy,28,0,27,28-28,22600
30.15,68.23,37.36,Sandy,Wheat,11,0,9,28-28,1.13E+08
31.12,54.41,55.18,Clayey,Oil seeds,12,0,31,DAP,39669000
31.08,61.81,34.73,Red,Wheat,38,3,0,DAP,1.13E+08
34.99,65.23,27.62,Clayey,Maize,1,17,13,10-26-26,37660000
28.29,46.16,41.47,Black,Millets,3,12,16,20-20,11570000
37.61,61.11,36.72,Loamy,Barley,10,2,42,Urea,1690000
36.02,69.03,54.45,Sandy,Barley,21,0,22,20-20,1690000
28.58,41.09,30.84,Red,Tobacco,21,0,22,17-17-17,804454
24.6,52.29,30.92,Black,Tobacco,16,0,39,DAP,804454
29.87,56.39,37.84,Sandy,Cotton,13,4,6,10-26-26,4590000
29.85,47.2,57.02,Sandy,Millets,27,0,20,10-26-26,11570000
26.12,63.44,63.43,Loamy,Millets,5,10,36,DAP,11570000
34.94,57.44,52.37,Sandy,Wheat,5,3,5,DAP,1.13E+08
31.59,63.18,56.9,Black,Paddy,16,4,36,10-26-26,22600
37.33,67.17,37.59,Loamy,Maize,11,0,42,10-26-26,37660000
24.02,45.09,67.89,Loamy,Tobacco,37,1,2,14-35-14,804454
33.56,66.29,26.04,Clayey,Wheat,43,2,2,14-35-14,1.13E+08
30.78,50.3,52.95,Clayey,Barley,25,0,22,20-20,1690000
32.39,66.19,63.37,Clayey,Ground Nuts,10,7,26,10-26-26,10180000
31.26,67.75,26.57,Black,Barley,23,2,22,Urea,1690000
38.04,69.01,42.8,Red,Ground Nuts,9,8,32,10-26-26,10180000
32.73,62.66,34.5,Red,Paddy,12,1,44,17-17-17,22600
27.79,60.14,41.16,Clayey,Paddy,37,0,4,10-26-26,22600
32.24,55.75,45.85,Black,Pulses,44,0,0,20-20,24240000
31.18,60.59,20.77,Black,Pulses,12,0,42,28-28,24240000
34.04,65.18,55.33,Black,Ground Nuts,12,7,32,28-28,10180000
28.92,49.12,20,Black,Pulses,11,14,31,17-17-17,24240000
36.08,74.86,38.71,Red,Wheat,8,20,21,10-26-26,1.13E+08
32.57,62.47,37.05,Sandy,Millets,14,3,36,Urea,11570000
32.53,51.27,44.71,Sandy,Ground Nuts,38,0,4,14-35-14,10180000
25.19,60.71,52.06,Red,Paddy,26,0,25,14-35-14,22600
28.66,47.45,44.04,Loamy,Wheat,36,0,4,20-20,1.13E+08
24.59,58.22,64.12,Sandy,Paddy,9,14,12,10-26-26,22600
25.71,59.93,51.81,Clayey,Tobacco,8,0,37,17-17-17,804454
28.24,54.62,35.02,Clayey,Wheat,10,0,12,DAP,1.13E+08
33.95,61,45.29,Clayey,Maize,18,3,17,17-17-17,37660000
33.88,59.02,35.32,Clayey,Sugarcane,11,4,27,DAP,4.53E+08
30.87,58.93,70,Clayey,Oil seeds,2,9,32,28-28,39669000
33.25,69.66,51.62,Sandy,Maize,36,0,4,Urea,37660000
30.25,72.59,57.4,Black,Pulses,4,0,15,28-28,24240000
31.59,67.65,56.8,Sandy,Oil seeds,7,3,42,Urea,39669000
37.68,62.61,54.72,Black,Ground Nuts,41,0,4,Urea,10180000
30.23,70.15,26.2,Red,Oil seeds,19,0,33,17-17-17,39669000
30.29,58.63,51.24,Loamy,Ground Nuts,24,0,16,17-17-17,10180000
27.47,53.06,40,Red,Paddy,8,0,40,28-28,22600
29.05,52,53.16,Black,Cotton,19,0,15,28-28,4590000
22.27,58.06,38.54,Black,Tobacco,2,16,19,28-28,804454
